Turn,TimeSinceSessionStart,ActionType,BuildingType,PositionX,PositionY,TargetBuildingLevelBefore,TargetBuildingLevelAfter,GoldBefore,GoldAfter,APBefore,APAfter,WasValid,Notes
1,5.371975,Build,SmallHouse,18,6,1,1,4000,2750,3,2,1,
1,7.200953,Build,SmallHouse,18,1,1,1,2750,2250,2,1,1,
1,8.645912,Build,Supply,23,6,1,1,2250,1450,1,0,1,
2,16.30821,Build,Supply,23,1,1,1,1450,1385,3,2,1,
4,48.5285,Build,SmallHouse,11,14,1,1,1385,3135,3,2,1,
5,59.36356,Build,SmallHouse,5,14,1,1,3135,3480,3,2,1,
5,60.94864,Build,SmallHouse,11,18,1,1,3480,2980,2,1,1,
